tokens,examples
"('raymont', 'None')",raymont
"('winner', 'noun')","Of all the queer collections of humans outside of a crazy asylum, it seemed to me this sanitarium was the cup winner. […] When you're well enough off so's you don't have to fret about anything but your heft or your diseases you begin to get queer, I suppose."
"('needle', 'noun')",The seamstress threaded the needle to sew on a button.
"('0.4', 'None')",0.4
"('plow', 'noun')","A plow, they say, to plow the snow.They cannot mean to plant it, no–Unless in bitterness to mockAt having cultivated rock."
"('merseyside', 'None')",merseyside
"('bidding', 'noun')","Do their biddings, and they will lead you to ""whatsoever things are true, whatsoever things are honest, whatsoever things are just, whatsoever things are pure, whatsoever things are lovely, whatsoever things are of good report."""
"('wholly', 'adverb')","And Moses sware on that day, saying, Surely the land whereon thy feet haue troden, shall be thine inheritance, and thy childrens for euer, because thou hast wholly followed the Lord my God."
"('give', 'verb')",Synonyms: see Thesaurus:give
"('bawling', 'adjective')",bawling
"('operator', 'noun')","The stories did not seem to me to touch life. […] They left me with the impression of a well-delivered stereopticon lecture, with characters about as life-like as the shadows on the screen, and whisking on and off, at the mercy of the operator."
"('insert', 'verb')","In order to withdraw money from a cash machine, you have to insert your debit card."
"('lader', 'None')",lader
"('cricket', 'noun')",Antonym: not cricket
"('distribute', 'verb')",He distributed the bread amongst his followers.
"('1.6', 'None')",1.6
"('dart', 'noun')","Then said Joab, I may not tarry thus with thee. And he took three darts in his hand, and thrust them through the heart of Absalom, while he was yet alive in the midst of the oak."
"('ahlberg', 'None')",ahlberg
"('sum', 'noun')",The sum of 3 and 4 is 7.
"('barrier', 'noun')",The bus went through a railway barrier and was hit by a train.
"('dominate', 'verb')","Antonyms: obey, submit"
"('quiet', 'adjective')",I can't hear the music; it is too quiet.
"('inference', 'noun')",inference
"('object', 'noun')","Money is an Object to you?Money is an Object to me.And yet you have taken no Steps to recover your Property from Mr. Dry?No, I have no Occasion for it."
"('escape', 'noun')",The prisoners made their escape by digging a tunnel.
"('reign', 'verb')",He reigned in an autocratic manner.
"('stitch', 'verb')",to stitch a shirt bosom.
"('joss', 'None')",joss
"('builder', 'noun')","In the competitions, bodybuilders go through ""mandatories""—a set of mandatory poses—in the morning, where the judges compare the body parts of the builders."
"('low-income', 'adjective')",Coordinate term: high-income
"(""again'"", 'verb')",again'
"('compass', 'noun')","[H]ow many Seas to our fore-fathers impaſſable, for want of the Compaſſe?"
"('open-door', 'adjective')",open-door
"('indirect', 'adjective')","The direct result of socialising every day in the bars may be happiness and meeting new people, but the indirect results could be addiction, or even poverty."
"('experimental', 'adjective')",Chemistry is an experimental science.
"('noisy', 'adjective')",the noisy crowd.
"('vision', 'noun')","[…] For to a Viſion ſo apparant, Rumor / Cannot be mute […]"
"('ochre', 'adjective')",ochre
"('roy', 'None')",roy
"('vulnerability', 'noun')",The country recognized their defence vulnerability after an airplane landed in front of the central square without any consequences.
"('calcite', 'noun')",calcite
"('combine', 'verb')","Conditions were horrendous aboard most British naval vessels at the time. Scurvy and other diseases ran rampant, killing more seamen each year than all other causes combined, including combat."
"('clough', 'None')",clough
"('burden', 'verb')",to burden a nation with taxes
"('50', 'None')",50
"('corporate', 'adjective')",The one on Seventh Street is a corporate franchise.
"('pac', 'None')",pac
"('gazette', 'noun')",gazette
"('hey', 'None')",hey
"('nurse', 'verb')",She believes that nursing her baby will make him strong and healthy.
"('grandfather', 'noun')",Synonyms: see Thesaurus:grandfather
"('cooperate', 'verb')","In polling by the Pew Research Center in November 2008, fully half the respondents thought the two parties would cooperate more in the coming year, versus only 36 percent who thought the climate would grow more adversarial."
"('airing', 'noun')",One controversy which has not had an airing in discussion of the new Transport Bill is that centring on the status of the Pullman Car Co.
"('4gls', 'None')",4gls
"('connection', 'noun')",the connection between overeating and obesity
"('virgil', 'None')",virgil
"('w6', 'None')",w6
"('ask', 'verb')",I asked her age.
"('brotherly', 'adjective')",brotherly love
"('elaborately', 'adverb')",elaborately
"('angie', 'noun')",angie
"('325ft', 'noun')",325ft
"('calmly', 'adverb')",She ran to the door and there beheld the ragged street urchin calmly playing his organ.
"('sportsmanlike', 'adjective')",sportsmanlike
"('rubber', 'noun')","For example, they may use paddle pop sticks, hand span, pencils, rubbers, mathematics equipment  or anything else the teacher can find to measure the lengths of nominated objects."
"('hurt', 'verb')","If anybody hurts my little brother, I will get upset."
"('accompanying', 'adjective')",The accompanying pages contain the unfinished Sketch of a Theory of Life by S. T. Coleridge.
"('ocean', 'None')",ocean
"('therapist', 'noun')","Seeing the British establishment struggle with the financial sector is like watching an alcoholic […].  Until 2008 there was denial over what finance had become. […]  But the scandals kept coming, and so we entered stage three – what therapists call ""bargaining"". A broad section of the political class now recognises the need for change but remains unable to see the necessity of a fundamental overhaul. Instead it offers fixes and patches."
"('chant', 'noun')","His strange face, his strange chant."
"('impression', 'noun')",His head made an impression on the pillow.
"('au', 'None')",au
"('comparability', 'noun')",comparability
"('radar', 'noun')",The enemy fleet was able to be found using radar.
"('conflictual', 'adjective')",conflictual
"('3.6tions', 'None')",3.6tions
"('abatement', 'noun')",The abatement of a nuisance is the suppression thereof.
"('balfour', 'None')",balfour
"('muricata', 'noun')",muricata
"('licence', 'noun')",licence
"('inter-relationship', 'noun')",inter-relationship
"('issc', 'None')",issc
"('strictly', 'adverb')",He adhered strictly to the diet his doctor prescribed.
"('welfare', 'noun')","Nothing was too small to receive attention, if a supervising eye could suggest improvements likely to conduce to the common welfare. Mr. Gordon Burnage, for instance, personally visited dust-bins and back premises, accompanied by a sort of village bailiff, going his round like a commanding officer doing billets."
"('language', 'noun')",The English language and the German language are related.
"('acronym', 'noun')","Pee-gee-enn. It's an acronym, that's what it is. That's what they call words made up of initials."
"('movement', 'noun')",Synonym: motion
"('gregory', 'None')",gregory
"('concede', 'verb')",I have to concede the argument.
"('combined', 'adjective')","The combined efforts of the emergency workers kept the river from going over its banks, barely."
"('bright', 'adjective')",The sky was remarkably bright and blue on that beautiful summer day.
"('affectionate', 'adjective')",She eulogised her always warm and affectionate brother.
"('guilt', 'noun')",Antonym: innocence
"('policyholder', 'noun')",policyholder
"('incinerator', 'noun')",incinerator
"('compile', 'verb')",Samuel Johnson compiled one of the most influential dictionaries of the English language.
"('op', 'None')",op
"('fuss', 'verb')",His grandmother will never quit fussing over his vegetarianism.
"('ruthless', 'adjective')",Antonym: ruthful
"('come', 'verb')",She’ll be coming ’round the mountain when she comes […]
"('speaker', 'noun')","This title is derived from the first verse of the book , which is a heading or colophon informing the reader who this Qoheleth was: he was the author of the  book, or at least the speaker of the words which are contained in it ..."
"('dream', 'noun')",Synonym:  sweven
"('short-handed', 'adjective')","The present Section, where the vessel sails short-handed, permits the payment of shorthand pay, but there is a clause in that contract which hoists it if the vessel sailing short-handed is due to the misconduct of any crew member."
"('synthesis', 'noun')","The Saturnalia was apparently the only occasion, however, when the synthesis could be worn in public with decorum."
"('lubbock', 'verb')",lubbock
"('major', 'None')",major
"('enforce', 'verb')",The police are there to enforce the law.
"('aggravate', 'verb')","Once more, the more to aggrauate the note,With a foule Traitors name ſtuffe I thy throte,And wiſh  ere I moue,What my tong ſpeaks, my right drawn ſword may proue"
"('in connection with', 'preposition')",in connection with
"('slum', 'noun')",Synonyms: see Thesaurus:slum
"('subject', 'verb')","I came here to buy souvenirs, not to be subjected to a tirade of abuse!"
"('opposite', 'noun')",She is the opposite of her ex-boyfriend who abused her both physically and verbally nearly every day for five years. She now works as an advocate and supportive listener for others who have endured abusive relationships.
"('part', 'verb')","He wrung Bassanio's hand, and so they parted."
"('implement', 'verb')","It’s a good thought, but it will be a difficult thing to implement."
"('rank', 'verb')",Their defense ranked third in the league.
"('session', 'noun')",a training session
"('ship', 'verb')","The timber was […] shipped in the bay of Attalia,  […] from whence it was by sea transported to Palusium."
"('home-movy', 'noun')",home-movy
"('sad', 'adjective')",She gets sad when he's away.
"('scandinavia', 'None')",scandinavia
"('farther', 'adverb')","But as the matter is often carried farther, even to the absolute rejecting of all profound reasonings, or what is commonly called metaphysics, we shall now proceed to consider what can reasonably be pleaded in their behalf."
"('arch', 'noun')",to pass into the arch of a bridge
"('corniche', 'None')",corniche
"('deuce', 'noun')","You see, Sir, when I look at the Ace it reminds me that there is but one God. The deuce reminds me that the bible is divided into two parts; the Old and New Testaments. And when I see the trey I think of the Father, Son and Holy Ghost."
"('gall', 'noun')","He shall flee from the iron weapon and the bow of steel shall strike him through. It is drawn and cometh out of the body; yea, the glittering sword cometh out of his gall."
"('fascinate', 'verb')",The flickering TV fascinated the cat.
"('coherent', 'adjective')",These people professed that the universe was one coherent thing; but they were not fond of the universe.
"('questionable', 'adjective')",It is questionable if the universe is open or closed.
"('slash', 'verb')","They slashed at him with their swords, but only managed to nick one of his fingers."
"('loose-head', 'noun')",loose-head
"('efficiently', 'adverb')","The second half was a less open affair, in which West Brom grew increasingly and efficiently conservative."
"('deal', 'verb')","Synonyms: apportion, divvy up, share, share out, portion out"
"('6.5', 'None')",6.5
"('£330,500', 'noun')","£330,500"
"('fork', 'noun')","Coordinate terms: spoon, knife, table knife, butter knife, steak knife, spork, foon, chork"
"('indispensable', 'adjective')",The law was moral and indispensable.
"('sling', 'verb')","Everyone could sling stones at an hairbreadth, and not miss."
"('hospitalization', 'noun')",hospitalization
"('cropped', 'adjective')",cropped
"('wom', 'noun')",wom
"('subterfuge', 'noun')",Overt subterfuge in a region nearly caused a minor accident.
"('agenda', 'noun')","Where the Joker preys on our fears of random, irrational acts of terror, Bane has an all-consuming, dictatorial agenda that’s more stable and permanent, a New World Order that’s been planned out with the precision of a military coup."
"('co-educational', 'adjective')",co-educational
"('interest', 'noun')",Our bank offers borrowers an annual interest of 5%.
"('professor', 'noun')","Synonyms: prof, Prof."
"('ladder', 'noun')","The form of a man was seen to enter, and both the females rushed up the ladder, as if equally afraid of the consequences. The stranger secured the door, and first examining the lower room with great care, he cautiously ascended the ladder."
"('trepper', 'noun')",trepper
"('loose', 'adjective')",This wheelbarrow has a loose wheel.
"('grievance', 'noun')","Wayne Rooney spent much of the game remonstrating with Oliver about his own grievances and, in the interest of balance, there were certainly occasions when United had legitimate complaints."
"('near-continuous', 'adjective')",near-continuous
"('salisbury', 'None')",salisbury
"('milena', 'None')",milena
"('outrage', 'noun')","There the cause of death was soon ascertained ; the victim of this daring outrage had been stabbed to death from ear to ear with a long, sharp instrument, in shape like an antique stiletto, which […] was subsequently found under the cushions of the hansom. […]"
